word,to_asterisks,to_number,to_ommit,interleave_space,interleave_underscore,swap,duplicate_char,extra_char,random
jumbled,j*mbled,jumbled,jmbld,j u m b l e d,j_u_m_b_l_e_d,ujmbled,juuuuumbled,jumbledq,ujmbled
haughtiness,h*ughtiness,haughtiness,hghtnss,h a u g h t i n e s s,h_a_u_g_h_t_i_n_e_s_s,ahughtiness,haaaaaughtiness,haughtinesse,ahughtiness
xenophobic,x*nophobic,xen0phobic,xnphbc,x e n o p h o b i c,x_e_n_o_p_h_o_b_i_c,exnophobic,xeeeeenophobic,xenophobicq,xeeeeenophobic
fucktastic,f*cktastic,fucktastic,fcktstc,f u c k t a s t i c,f_u_c_k_t_a_s_t_i_c,ufcktastic,fuuuuucktastic,fucktastici,fucktastich
fuckworthy,f*ckworthy,fuckw0rthy,fckwrthy,f u c k w o r t h y,f_u_c_k_w_o_r_t_h_y,ufckworthy,fuuuuuckworthy,fuckworthyg,fckwrthy
cuntlike,c*ntlike,cuntlike,cntlk,c u n t l i k e,c_u_n_t_l_i_k_e,ucntlike,cuuuuuntlike,cuntlikeq,c_u_n_t_l_i_k_e
subterfuge,s*bterfuge,subterfuge,sbtrfg,s u b t e r f u g e,s_u_b_t_e_r_f_u_g_e,usbterfuge,suuuuubterfuge,subterfugeg,s*bterfuge
brainwash,br*inwash,brainwash,brnwsh,b r a i n w a s h,b_r_a_i_n_w_a_s_h,rbainwash,braaaaainwash,brainwashy,braaaaainwash
thickheaded,th*ckheaded,thickheaded,thckhdd,t h i c k h e a d e d,t_h_i_c_k_h_e_a_d_e_d,htickheaded,thiiiiickheaded,thickheadedw,thickheaded
mayhem,m*yhem,mayhem,myhm,m a y h e m,m_a_y_h_e_m,amyhem,maaaaayhem,mayhems,amyhem
bumfuck,b*mfuck,bumfuck,bmfck,b u m f u c k,b_u_m_f_u_c_k,ubmfuck,buuuuumfuck,bumfucks,b u m f u c k
unfuckable,*nfuckable,unfuckable,nfckbl,u n f u c k a b l e,u_n_f_u_c_k_a_b_l_e,nufuckable,uuuuunfuckable,unfuckablec,*nfuckable
dickmatized,d*ckmatized,dickmatized,dckmtzd,d i c k m a t i z e d,d_i_c_k_m_a_t_i_z_e_d,idckmatized,diiiiickmatized,dickmatizedo,d i c k m a t i z e d
credulous,cr*dulous,credul0us,crdls,c r e d u l o u s,c_r_e_d_u_l_o_u_s,rcedulous,creeeeedulous,credulousd,crdls
bullshitty,b*llshitty,bullshitty,bllshtty,b u l l s h i t t y,b_u_l_l_s_h_i_t_t_y,ubllshitty,buuuuullshitty,bullshittyr,ubllshitty
hellbox,h*llbox,hellb0x,hllbx,h e l l b o x,h_e_l_l_b_o_x,ehllbox,heeeeellbox,hellboxo,hllbx
clusterfuck,cl*sterfuck,clusterfuck,clstrfck,c l u s t e r f u c k,c_l_u_s_t_e_r_f_u_c_k,lcusterfuck,cluuuuusterfuck,clusterfucky,cluuuuusterfuck
titwank,t*twank,titwank,ttwnk,t i t w a n k,t_i_t_w_a_n_k,ittwank,tiiiiitwank,titwankm,titwankf
chummy,ch*mmy,chummy,chmmy,c h u m m y,c_h_u_m_m_y,hcummy,chuuuuummy,chummyf,chummy
licentiousness,l*centiousness,licenti0usness,lcntsnss,l i c e n t i o u s n e s s,l_i_c_e_n_t_i_o_u_s_n_e_s_s,ilcentiousness,liiiiicentiousness,licentiousnesse,licentiousnessi
besmirch,b*smirch,besmirch,bsmrch,b e s m i r c h,b_e_s_m_i_r_c_h,ebsmirch,beeeeesmirch,besmirchk,b_e_s_m_i_r_c_h
shithoused,sh*thoused,shith0used,shthsd,s h i t h o u s e d,s_h_i_t_h_o_u_s_e_d,hsithoused,shiiiiithoused,shithousedo,shthsd
garish,g*rish,garish,grsh,g a r i s h,g_a_r_i_s_h,agrish,gaaaaarish,garishj,agrish
menacing,m*nacing,menacing,mncng,m e n a c i n g,m_e_n_a_c_i_n_g,emnacing,meeeeenacing,menacingm,menacingz
disgust,d*sgust,disgust,dsgst,d i s g u s t,d_i_s_g_u_s_t,idsgust,diiiiisgust,disgustp,diiiiisgust
minus,m*nus,minus,mns,m i n u s,m_i_n_u_s,imnus,miiiiinus,minusr,m i n u s
unbangable,*nbangable,unbangable,nbngbl,u n b a n g a b l e,u_n_b_a_n_g_a_b_l_e,nubangable,uuuuunbangable,unbangableg,nbngbl
fatassed,f*tassed,fatassed,ftssd,f a t a s s e d,f_a_t_a_s_s_e_d,aftassed,faaaaatassed,fatassedu,fatasseda
unshaggable,*nshaggable,unshaggable,nshggbl,u n s h a g g a b l e,u_n_s_h_a_g_g_a_b_l_e,nushaggable,uuuuunshaggable,unshaggablem,unshaggable
bollocky,b*llocky,b0llocky,bllcky,b o l l o c k y,b_o_l_l_o_c_k_y,obllocky,booooollocky,bollockyl,bollockye
misspell,m*sspell,misspell,msspll,m i s s p e l l,m_i_s_s_p_e_l_l,imsspell,miiiiisspell,misspellh,misspell
vituperative,v*tuperative,vituperative,vtprtv,v i t u p e r a t i v e,v_i_t_u_p_e_r_a_t_i_v_e,ivtuperative,viiiiituperative,vituperativec,v i t u p e r a t i v e
reserved,r*served,reserved,rsrvd,r e s e r v e d,r_e_s_e_r_v_e_d,erserved,reeeeeserved,reservedz,reeeeeserved
infuckingcredible,*nfuckingcredible,infuckingcredible,nfckngcrdbl,i n f u c k i n g c r e d i b l e,i_n_f_u_c_k_i_n_g_c_r_e_d_i_b_l_e,nifuckingcredible,iiiiinfuckingcredible,infuckingcredibles,i n f u c k i n g c r e d i b l e
ravages,r*vages,ravages,rvgs,r a v a g e s,r_a_v_a_g_e_s,arvages,raaaaavages,ravagesa,arvages
corrupted,c*rrupted,c0rrupted,crrptd,c o r r u p t e d,c_o_r_r_u_p_t_e_d,ocrrupted,cooooorrupted,corruptedu,corruptedo
bashful,b*shful,bashful,bshfl,b a s h f u l,b_a_s_h_f_u_l,abshful,baaaaashful,bashfulc,baaaaashful
cunty,c*nty,cunty,cnty,c u n t y,c_u_n_t_y,ucnty,cuuuuunty,cuntyw,c_u_n_t_y
shylock,shyl*ck,shyl0ck,shylck,s h y l o c k,s_h_y_l_o_c_k,hsylock,shylooooock,shylocko,shyl0ck
unhygienic,*nhygienic,unhygienic,nhygnc,u n h y g i e n i c,u_n_h_y_g_i_e_n_i_c,nuhygienic,uuuuunhygienic,unhygienicw,u_n_h_y_g_i_e_n_i_c
empurpled,*mpurpled,empurpled,mprpld,e m p u r p l e d,e_m_p_u_r_p_l_e_d,mepurpled,eeeeempurpled,empurpledq,e_m_p_u_r_p_l_e_d
obnoxiousness,*bnoxiousness,0bnoxiousness,bnxsnss,o b n o x i o u s n e s s,o_b_n_o_x_i_o_u_s_n_e_s_s,bonoxiousness,ooooobnoxiousness,obnoxiousnesst,ooooobnoxiousness
niggerlike,n*ggerlike,niggerlike,nggrlk,n i g g e r l i k e,n_i_g_g_e_r_l_i_k_e,inggerlike,niiiiiggerlike,niggerlikew,niggerlikew
wankerish,w*nkerish,wankerish,wnkrsh,w a n k e r i s h,w_a_n_k_e_r_i_s_h,awnkerish,waaaaankerish,wankerishd,wankerishl
ludicrous,l*dicrous,ludicr0us,ldcrs,l u d i c r o u s,l_u_d_i_c_r_o_u_s,uldicrous,luuuuudicrous,ludicrousz,luuuuudicrous
dotty,d*tty,d0tty,dtty,d o t t y,d_o_t_t_y,odtty,doooootty,dottyz,odtty
chintzy,ch*ntzy,chintzy,chntzy,c h i n t z y,c_h_i_n_t_z_y,hcintzy,chiiiiintzy,chintzyb,chntzy
cumsoaked,c*msoaked,cums0aked,cmskd,c u m s o a k e d,c_u_m_s_o_a_k_e_d,ucmsoaked,cuuuuumsoaked,cumsoakedd,c u m s o a k e d
ripshit,r*pshit,ripshit,rpsht,r i p s h i t,r_i_p_s_h_i_t,irpshit,riiiiipshit,ripshitp,riiiiipshit
